year|month|cost_type|mean
2020|1|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|21555.56
2020|1|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|5902.98
2020|1|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1088.79
2020|1|PASSAGEM AÉREA - RPA|1079.72
2020|1|SERVIÇOS POSTAIS|74.23
2020|1|TELEFONIA|151.85
2020|2|COMBUSTÍVEIS E LUBRIFICANTES.|656.68
2020|2|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|19036.36
2020|2|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|6616.34
2020|2|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1081.14
2020|2|SERVIÇOS POSTAIS|53.19
2020|2|TELEFONIA|128.91
2020|3|COMBUSTÍVEIS E LUBRIFICANTES.|963.66
2020|3|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|13071.43
2020|3|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|8779.41
2020|3|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1155.14
2020|3|PASSAGEM AÉREA - RPA|869.57
2020|3|SERVIÇOS POSTAIS|53.19
2020|3|TELEFONIA|146.43
2020|4|COMBUSTÍVEIS E LUBRIFICANTES.|1413.12
2020|4|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|11048.33
2020|4|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|8264.61
2020|4|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1235.57
2020|4|PASSAGEM AÉREA - REEMBOLSO|1880.15
2020|4|TELEFONIA|105.05
2020|5|COMBUSTÍVEIS E LUBRIFICANTES.|943.7
2020|5|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|15816.67
2020|5|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|8058.86
2020|5|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1225.17
2020|5|SERVIÇOS POSTAIS|15.55
2020|5|TELEFONIA|7.73
2020|6|COMBUSTÍVEIS E LUBRIFICANTES.|917.86
2020|6|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|17116.67
2020|6|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|7366.67
2020|6|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1186.15
2020|6|SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.|3600.0
2020|6|TELEFONIA|347.52
2020|7|COMBUSTÍVEIS E LUBRIFICANTES.|875.11
2020|7|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|17127.27
2020|7|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|9401.66
2020|7|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1160.65
2020|7|TELEFONIA|241.8
2020|8|COMBUSTÍVEIS E LUBRIFICANTES.|817.53
2020|8|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|25000.0
2020|8|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|6764.99
2020|8|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1281.61
2020|8|TELEFONIA|249.06
2020|9|COMBUSTÍVEIS E LUBRIFICANTES.|952.25
2020|9|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|15440.0
2020|9|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|7111.81
2020|9|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1279.59
2020|9|SERVIÇOS POSTAIS|97.6
2020|9|TELEFONIA|15.89
2020|10|COMBUSTÍVEIS E LUBRIFICANTES.|773.08
2020|10|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|17843.64
2020|10|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|5409.99
2020|10|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1226.23
2020|10|PASSAGEM AÉREA - REEMBOLSO|1662.07
2020|10|TELEFONIA|76.04
2020|11|COMBUSTÍVEIS E LUBRIFICANTES.|763.06
2020|11|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|14812.46
2020|11|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|13225.38
2020|11|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1283.84
2020|11|PASSAGEM AÉREA - REEMBOLSO|1401.15
2020|11|PASSAGEM AÉREA - SIGEPA|650.45
2020|11|TELEFONIA|291.62
2020|12|COMBUSTÍVEIS E LUBRIFICANTES.|682.32
2020|12|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|20468.75
2020|12|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|8230.94
2020|12|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1412.53
2020|12|PASSAGEM AÉREA - REEMBOLSO|1446.23
2020|12|PASSAGEM AÉREA - SIGEPA|1309.22
2020|12|SERVIÇOS POSTAIS|23.23
2020|12|TELEFONIA|36.27
2021|1|COMBUSTÍVEIS E LUBRIFICANTES.|632.56
2021|1|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|13398.26
2021|1|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|6940.95
2021|1|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1126.35
2021|1|PASSAGEM AÉREA - REEMBOLSO|2070.34
2021|1|PASSAGEM AÉREA - SIGEPA|167.56
2021|1|SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.|5100.0
2021|1|SERVIÇOS POSTAIS|65.23
2021|1|TELEFONIA|174.26
2021|2|COMBUSTÍVEIS E LUBRIFICANTES.|564.77
2021|2|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|12226.67
2021|2|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|5772.92
2021|2|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1115.13
2021|2|PASSAGEM AÉREA - REEMBOLSO|884.41
2021|2|PASSAGEM AÉREA - SIGEPA|937.42
2021|2|SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.|5100.0
2021|2|SERVIÇOS POSTAIS|61.36
2021|2|TELEFONIA|177.49
2021|3|COMBUSTÍVEIS E LUBRIFICANTES.|613.57
2021|3|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|12193.94
2021|3|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|7609.53
2021|3|HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.|140.0
2021|3|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1143.27
2021|3|PASSAGEM AÉREA - REEMBOLSO|1079.95
2021|3|PASSAGEM AÉREA - SIGEPA|47.36
2021|3|SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.|1861.57
2021|3|SERVIÇOS POSTAIS|556.21
2021|3|TELEFONIA|191.33
2021|4|COMBUSTÍVEIS E LUBRIFICANTES.|469.18
2021|4|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|10728.57
2021|4|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|8892.69
2021|4|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1145.09
2021|4|PASSAGEM AÉREA - REEMBOLSO|1668.21
2021|4|PASSAGEM AÉREA - SIGEPA|433.33
2021|4|SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.|3600.0
2021|4|SERVIÇOS POSTAIS|60.26
2021|4|TELEFONIA|219.21
2021|5|COMBUSTÍVEIS E LUBRIFICANTES.|417.14
2021|5|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|11985.71
2021|5|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|7290.5
2021|5|LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES|6500.0
2021|5|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1184.62
2021|5|PASSAGEM AÉREA - REEMBOLSO|1651.31
2021|5|PASSAGEM AÉREA - SIGEPA|984.4
2021|5|SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.|3600.0
2021|5|SERVIÇOS POSTAIS|74.29
2021|5|TELEFONIA|158.37
2021|6|COMBUSTÍVEIS E LUBRIFICANTES.|362.74
2021|6|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|14025.5
2021|6|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|8129.98
2021|6|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1035.06
2021|6|PASSAGEM AÉREA - REEMBOLSO|1121.45
2021|6|SERVIÇOS POSTAIS|95.71
2021|6|TELEFONIA|1001.69
2021|7|COMBUSTÍVEIS E LUBRIFICANTES.|167.5
2021|7|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|22000.0
2021|7|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|376.9
2021|7|SERVIÇOS POSTAIS|52.47
